country,city,state,name,address,joined,type_of_office,price,time_period
brazil,sao-paulo,,estudio-capanema,"1274 Avenida Paulista, Sao Paulo, Brazil",February 2020,Membership: Dedicated Desk,BRL 1099.00,1 Month
brazil,sao-paulo,,works-place-242,"242 Rua Estados Unidos, Sao Paulo, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 89.00,1 Hour
brazil,sao-paulo,,works-place-242,"242 Rua Estados Unidos, Sao Paulo, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 749.00,1 Month
brazil,belo-horizonte,,the-plant,"662 Rua Grão Mogol, Belo Horizonte, Brazil",March 2019,Membership: Hot Desk / Open Plan,BRL 35.00,1 Day
brazil,belo-horizonte,,the-plant,"662 Rua Grão Mogol, Belo Horizonte, Brazil",March 2019,Membership: Hot Desk / Open Plan,BRL 153.00,1 Week
brazil,belo-horizonte,,the-plant,"662 Rua Grão Mogol, Belo Horizonte, Brazil",March 2019,Membership: Hot Desk / Open Plan,BRL 633.00,1 Month
brazil,rio-de-janeiro,,cluster-coworking,"22 Rua Barão do Flamengo, Rio de Janeiro, Brazil",October 2017,Membership: Dedicated Desk,BRL 1000.00,1 Month
brazil,sao-paulo,,terracota-coworking,"545 Rua Luverci Pereira de Souza, Sao Paulo, Brazil",August 2017,Membership: Private Office,BRL 400.00,1 Month
brazil,sao-paulo,,terracota-coworking,"545 Rua Luverci Pereira de Souza, Sao Paulo, Brazil",August 2017,Membership: Dedicated Desk,BRL 550.00,1 Month
brazil,sao-paulo,,terracota-coworking,"545 Rua Luverci Pereira de Souza, Sao Paulo, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 15.00,1 Hour
brazil,sao-paulo,,terracota-coworking,"545 Rua Luverci Pereira de Souza, Sao Paulo, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 150.00,1 Day
brazil,sao-paulo,,terracota-coworking,"545 Rua Luverci Pereira de Souza, Sao Paulo, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 600.00,1 Month
brazil,fortaleza,,mobile-office,"Rua José Carlos Gurgel Nogueira, 334 - Papicu, Fortaleza, Fortaleza, Brazil",October 2017,Membership: Hot Desk / Open Plan,BRL 600.00,1 Month
brazil,rio-de-janeiro,,coworking-phoenix,"278 Praia do Flamengo, Room 41, Rio de Janeiro, Brazil",November 2017,Membership: Dedicated Desk,BRL 900.00,1 Month
brazil,sao-paulo,,smart-place-coworking,"143 Rua Melvin Jones, Sao Paulo, Brazil",November 2017,Membership: Hot Desk / Open Plan,BRL 175.00,1 Month
brazil,rio-de-janeiro,,omloc-coworking,"R. da Quitanda, 185 - Sala 601 - Centro, Rio de Janeiro, Brazil",December 2017,Membership: Private Office,BRL 2760.00,1 Month
brazil,rio-de-janeiro,,omloc-coworking,"R. da Quitanda, 185 - Sala 601 - Centro, Rio de Janeiro, Brazil",December 2017,Membership: Hot Desk / Open Plan,BRL 400.00,1 Month
brazil,sao-paulo,,umbco-23-coworking-e-sala-de-reuniao,"547 Rua Doutor Antônio Álvares Lôbo, Sao Paulo, Brazil",January 2018,Membership: Dedicated Desk,BRL 800.00,1 Month
brazil,sao-paulo,,umbco-23-coworking-e-sala-de-reuniao,"547 Rua Doutor Antônio Álvares Lôbo, Sao Paulo, Brazil",January 2018,Membership: Hot Desk / Open Plan,BRL 60.00,1 Day
brazil,sao-paulo,,umbco-23-coworking-e-sala-de-reuniao,"547 Rua Doutor Antônio Álvares Lôbo, Sao Paulo, Brazil",January 2018,Membership: Hot Desk / Open Plan,BRL 500.00,1 Month
brazil,sao-paulo,,umbco-23-coworking-e-sala-de-reuniao,"547 Rua Doutor Antônio Álvares Lôbo, Sao Paulo, Brazil",January 2018,Membership: Hot Desk / Open Plan,BRL 500.00 /month,3 Months
brazil,maringa,,officio-coworking,"351 Avenida Euclídes da Cunha, Maringa, Brazil",August 2017,Membership: Private Office,BRL 1060.00,1 Month
brazil,maringa,,officio-coworking,"351 Avenida Euclídes da Cunha, Maringa, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 40.00,1 Day
brazil,maringa,,officio-coworking,"351 Avenida Euclídes da Cunha, Maringa, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 120.00,1 Week
brazil,maringa,,officio-coworking,"351 Avenida Euclídes da Cunha, Maringa, Brazil",August 2017,Membership: Hot Desk / Open Plan,BRL 450.00,1 Month
brazil,sao-paulo,,sampa-works,"1361 Rua Artur de Azevedo, Sao Paulo, Brazil",September 2017,Membership: Dedicated Desk,BRL 700.00,1 Month
brazil,sao-paulo,,sampa-works,"1361 Rua Artur de Azevedo, Sao Paulo, Brazil",September 2017,Membership: Hot Desk / Open Plan,BRL 50.00,1 Day
brazil,sao-paulo,,sampa-works,"1361 Rua Artur de Azevedo, Sao Paulo, Brazil",September 2017,Membership: Hot Desk / Open Plan,BRL 125.00,1 Week
brazil,sao-paulo,,sampa-works,"1361 Rua Artur de Azevedo, Sao Paulo, Brazil",September 2017,Membership: Hot Desk / Open Plan,BRL 450.00,1 Month
brazil,sao-paulo,,spark-coworking,"R. Cel. Irineu de Castro, 43 - Jardim Analia Franco, Sao Paulo, Brazil",October 2017,Membership: Private Office,BRL 1700.00,1 Month
